solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 0.9019, 0.0367, 8044.7364, 14, 2, 262
2, 0.6222, 0.0835, 8044.8199, 14, 3, 263
2, 0.4279, 0.122, 8044.9419, 14, 4, 264
2, 0.3573, 0.1435, 8045.0854, 14, 5, 265
3, 0.2569, 0.3471, 8045.4325, 14, 6, 266
2, 0.2385, 0.5109, 8045.9433, 14, 7, 267
2, 0.1986, 4.1652, 8050.1085, 14, 8, 268
3, 0.1892, 1.7494, 8051.8579, 14, 9, 269
3, 0.1697, 8.3865, 8060.2445, 14, 10, 270
422, 0.1525, 300.2439, 8360.4884, 14, 11, 271
3, 0.1331, 168.3825, 8528.8709, 14, 12, 272
422, 0.1109, 300.7849, 8829.6557, 14, 13, 273
3, 0.0183, 0.8106, 8830.4663, 14, 14, 274
3, 0.0244, 12.4974, 8842.9637, 14, 15, 275
422, 0.0289, 300.7457, 9143.7093, 14, 16, 276
422, 0.0337, 300.5399, 9444.2492, 14, 17, 277
422, 0.0337, 300.4563, 9744.7055, 14, 18, 278
422, 0.0302, 301.5894, 10046.2949, 14, 19, 279
422, 0.0228, 301.1141, 10347.4091, 14, 20, 280
2, 1, 0.0173, 10347.4263, 15, 1, 281
2, 0.8554, 0.0544, 10347.4808, 15, 2, 282
2, 0.5451, 0.0403, 10347.5211, 15, 3, 283
2, 0.4709, 0.1276, 10347.6487, 15, 4, 284
2, 0.3585, 0.1611, 10347.8098, 15, 5, 285
3, 0.3019, 0.5241, 10348.3339, 15, 6, 286
3, 0.2488, 0.5864, 10348.9203, 15, 7, 287
2, 0.2209, 3.9647, 10352.885, 15, 8, 288
3, 0.1937, 13.0686, 10365.9536, 15, 9, 289
3, 0.1686, 26.4299, 10392.3835, 15, 10, 290
422, 0.1466, 300.8348, 10693.2183, 15, 11, 291
3, 0.135, 276.0716, 10969.2899, 15, 12, 292
422, 0.1172, 300.5965, 11269.8865, 15, 13, 293
422, 0.1034, 300.8, 11570.6865, 15, 14, 294
2, 0.0194, 1.4778, 11572.1643, 15, 15, 295
3, 0.0259, 67.4872, 11639.6516, 15, 16, 296
422, 0.0369, 300.9132, 11940.5647, 15, 17, 297
422, 0.0259, 300.442, 12241.0068, 15, 18, 298
422, 0.0322, 301.0565, 12542.0632, 15, 19, 299
422, 0.0311, 300.6775, 12842.7407, 15, 20, 300
2, 1, 0.0143, 12842.755, 16, 1, 301
2, 0.7789, 0.0286, 12842.7836, 16, 2, 302
2, 0.5834, 0.071, 12842.8546, 16, 3, 303
2, 0.4719, 0.1049, 12842.9595, 16, 4, 304
2, 0.3573, 0.1218, 12843.0814, 16, 5, 305
2, 0.3014, 0.2873, 12843.3686, 16, 6, 306
2, 0.2871, 0.5448, 12843.9135, 16, 7, 307
2, 0.2396, 2.5592, 12846.4726, 16, 8, 308
3, 0.1937, 7.3136, 12853.7862, 16, 9, 309
3, 0.1606, 84.1915, 12937.9778, 16, 10, 310
3, 0.1554, 174.0679, 13112.0457, 16, 11, 311
3, 0.1421, 142.4695, 13254.5151, 16, 12, 312
422, 0.1288, 300.7636, 13555.2788, 16, 13, 313
422, 0.115, 301.1689, 13856.4477, 16, 14, 314
422, 0.105, 301.0718, 14157.5195, 16, 15, 315
3, 0.012, 2.9403, 14160.4597, 16, 16, 316
3, 0.0295, 125.6161, 14286.0759, 16, 17, 317
422, 0.0241, 301.0562, 14587.1321, 16, 18, 318
422, 0.0238, 300.6473, 14887.7794, 16, 19, 319
422, 0.0233, 301.15, 15188.9294, 16, 20, 320
2, 1, 0.0124, 15188.9418, 17, 1, 321
2, 0.9713, 0.0296, 15188.9714, 17, 2, 322
2, 0.5402, 0.0373, 15189.0088, 17, 3, 323
2, 0.453, 0.1499, 15189.1586, 17, 4, 324
2, 0.3693, 0.1294, 15189.288, 17, 5, 325
2, 0.2917, 0.1886, 15189.4767, 17, 6, 326
2, 0.2603, 0.7554, 15190.2321, 17, 7, 327
2, 0.2197, 2.9968, 15193.2288, 17, 8, 328
3, 0.1809, 17.6871, 15210.9159, 17, 9, 329
422, 0.1803, 300.039, 15510.9549, 17, 10, 330
3, 0.16, 241.2671, 15752.222, 17, 11, 331
422, 0.132, 300.8279, 16053.0499, 17, 12, 332
422, 0.1334, 301.348, 16354.3979, 17, 13, 333
422, 0.1136, 300.634, 16655.032, 17, 14, 334
422, 0.1076, 300.6946, 16955.7265, 17, 15, 335
422, 0.0832, 301.2109, 17256.9375, 17, 16, 336
3, 0.0199, 3.7274, 17260.6648, 17, 17, 337
422, 0.0242, 300.6297, 17561.2945, 17, 18, 338
422, 0.0236, 300.785, 17862.0795, 17, 19, 339
422, 0.026, 302.0813, 18164.1608, 17, 20, 340
2, 1, 0.0376, 18164.1984, 18, 1, 341
2, 0.9169, 0.0278, 18164.2262, 18, 2, 342
2, 0.6784, 0.1042, 18164.3304, 18, 3, 343
2, 0.4063, 0.2462, 18164.5766, 18, 4, 344
2, 0.3523, 0.1784, 18164.755, 18, 5, 345
2, 0.3426, 0.8113, 18165.5662, 18, 6, 346
2, 0.2611, 3.4524, 18169.0186, 18, 7, 347
2, 0.248, 3.8553, 18172.874, 18, 8, 348
3, 0.2079, 23.3628, 18196.2367, 18, 9, 349
422, 0.1677, 300.4514, 18496.6881, 18, 10, 350
3, 0.1438, 52.1618, 18548.8499, 18, 11, 351
422, 0.1465, 301.754, 18850.6039, 18, 12, 352
422, 0.135, 301.357, 19151.9609, 18, 13, 353
422, 0.123, 300.5961, 19452.557, 18, 14, 354
422, 0.1063, 300.5109, 19753.0679, 18, 15, 355
422, 0.1077, 301.0698, 20054.1377, 18, 16, 356
422, 0.083, 300.4721, 20354.6097, 18, 17, 357
3, 0.0266, 80.0467, 20434.6565, 18, 18, 358
422, 0.0284, 303.0307, 20737.6872, 18, 19, 359
422, 0.034, 302.8466, 21040.5337, 18, 20, 360
2, 1, 0.0701, 21040.6038, 19, 1, 361
2, 0.7518, 0.031, 21040.6348, 19, 2, 362
2, 0.6307, 0.0501, 21040.6849, 19, 3, 363
2, 0.5217, 0.0648, 21040.7497, 19, 4, 364
2, 0.3801, 0.1164, 21040.8661, 19, 5, 365
2, 0.2895, 0.5409, 21041.4069, 19, 6, 366
2, 0.2411, 1.9057, 21043.3127, 19, 7, 367
2, 0.2338, 5.9413, 21049.254, 19, 8, 368
3, 0.1866, 29.0079, 21078.2619, 19, 9, 369
103, 0.1752, 98.9833, 21177.2451, 19, 10, 370
422, 0.1589, 300.5128, 21477.758, 19, 11, 371
422, 0.1512, 300.5178, 21778.2758, 19, 12, 372
422, 0.1327, 301.1432, 22079.419, 19, 13, 373
422, 0.123, 300.5496, 22379.9686, 19, 14, 374
422, 0.106, 300.519, 22680.4876, 19, 15, 375
422, 0.1043, 300.7998, 22981.2874, 19, 16, 376
422, 0.1021, 300.8409, 23282.1283, 19, 17, 377
422, 0.087, 301.0912, 23583.2195, 19, 18, 378
2, 0.0112, 15.0007, 23598.2202, 19, 19, 379
422, 0.0295, 302.9197, 23901.1399, 19, 20, 380
2, 1, 0.0262, 23901.166, 20, 1, 381
2, 0.8407, 0.037, 23901.203, 20, 2, 382
2, 0.6625, 0.091, 23901.294, 20, 3, 383
2, 0.4564, 0.1379, 23901.4319, 20, 4, 384
2, 0.3516, 0.1858, 23901.6178, 20, 5, 385
2, 0.3031, 0.6227, 23902.2404, 20, 6, 386
102, 0.2643, 1.0858, 23903.3262, 20, 7, 387
3, 0.2361, 10.9165, 23914.2426, 20, 8, 388
3, 0.2007, 18.9908, 23933.2335, 20, 9, 389
3, 0.1726, 28.6237, 23961.8572, 20, 10, 390
422, 0.1539, 300.5953, 24262.4525, 20, 11, 391
422, 0.1495, 300.7074, 24563.1599, 20, 12, 392
422, 0.1371, 301.0696, 24864.2295, 20, 13, 393
422, 0.1229, 300.5689, 25164.7984, 20, 14, 394
422, 0.111, 300.6858, 25465.4843, 20, 15, 395
422, 0.104, 301.527, 25767.0113, 20, 16, 396
422, 0.0955, 300.6566, 26067.6679, 20, 17, 397
422, 0.0845, 300.8951, 26368.563, 20, 18, 398
422, 0.0838, 300.6077, 26669.1707, 20, 19, 399
3, 0.0121, 39.1975, 26708.3682, 20, 20, 400
